#,Empresa,Categoría,Perfil ciclo,Dirección (Zaragoza),Teléfono,Web,Prioridad,Notas,Estado convenio,Tutor/a dual responsable,Persona de contacto,Fecha contacto,Resultado / seguimiento
22,Arona Systems,Redes y telecomunicaciones,SMR/ASIR,"C. Ntra. Sra. de Covadonga 18-20, 50017",976 39 41 55,aronasystems.com,Alta,Cableado estructurado,Sin contactar,,,,
23,Sincronet Security & Networking,Redes y ciberseguridad,SMR/ASIR,"C. Ibón de Estanés 10, 50011",976 46 76 21,sincronet.es,Alta,,Sin contactar,,,,
24,ZADITEL,Redes y telecomunicaciones,SMR/ASIR,"C. José Donoso 13, 50018",976 79 99 99,zaditel.com,Alta,,Sin contactar,,,,
25,Balui Digital,Redes y ciberseguridad,SMR/DAW,"C. Miquel Roca i Junyent 7, pl. 2, 50011",976 36 23 23,baluidigital.es,Media,"Ciberseguridad, web, TPV",Sin contactar,,,,
26,Ciberseguridad Gobernada (Cibergob),Redes y ciberseguridad,ASIR,"Ed. Náyade, C. Bari 55, of. 211, PLAZA 50197",876 64 66 15,cibergob.es,Media,,Sin contactar,,,,
27,Zierzo Telecom,Redes y telecomunicaciones,SMR,"C. Felisa Galé 1, 50014",876 66 11 50,,Media,Operador local,Sin contactar,,,,
28,Grupo Soastel,Redes y telecomunicaciones,SMR,"Pol. Malpica, C. F parc. 57 nave 20, 50016",976 79 91 91,,Media,,Sin contactar,,,,
29,Embou (MásMóvil),Redes y telecomunicaciones,SMR/ASIR,"Av. Juan Pablo II 35, 50009",622 48 42 19,embou.com,Media,"Operador aragonés, sede corporativa",Sin contactar,,,,
30,La Casa de la Fibra,Redes y telecomunicaciones,SMR,"C. Compromiso de Caspe 107, 50002",876 03 02 00,,Baja,Operador local,Sin contactar,,,,
31,Finetwork Zaragoza Goya,Redes y telecomunicaciones,SMR,"Av. Goya 96, 50005",876 01 57 66,,Baja,Tienda operador,Sin contactar,,,,
32,Libelium,Redes y telecomunicaciones,ASIR/DAM,"C. María Zambrano 31, torre este pl. 7, 50018",976 54 74 92,libelium.com,Media,IoT,Sin contactar,,,,
33,Hiberus,Consultora / gran empresa,SMR/ASIR/DAM/DAW,"Pº Isabel la Católica 6, 50009",976 10 66 20,hiberus.com,Alta,Mayor empleador TIC de Aragón; tiene helpdesk,Sin contactar,,,,
34,Hiberus Booster (antes Factory Apps),Consultora / gran empresa,DAM/DAW,"Pº Isabel la Católica 6, 50009",,hiberusbooster.com,Media,Desarrollo apps,Sin contactar,,,,
35,Inycom,Consultora / gran empresa,SMR/ASIR/DAM,"PLAZA, C. Alaún 8, 50197",976 01 33 00,inycom.es,Alta,Servicios TI + electromedicina,Sin contactar,,,,
36,NTT DATA (everis Aragón),Consultora / gran empresa,DAM/DAW/ASIR,"Pl. Antonio Beltrán Martínez 1, pl. 9, 50002",976 48 20 80,nttdata.com,Alta,"Oficina Aragonia: Av. Juan Pablo II 35, pl. 6",Sin contactar,,,,
37,Capgemini Zaragoza,Consultora / gran empresa,DAM/DAW/ASIR,"C. Eduardo Ibarra 6, of. 2.4, 50009",912 15 37 00,capgemini.com,Media,,Sin contactar,,,,
38,Deloitte Zaragoza,Consultora / gran empresa,DAM/DAW,"C. María Zambrano 31, torre oeste pl. 16, 50018",976 21 46 75,deloitte.com,Media,Área tecnología,Sin contactar,,,,
39,Indra Sistemas Zaragoza,Consultora / gran empresa,DAM/ASIR,"C. María Zambrano 31, 50018",914 80 50 00,indracompany.com,Media,,Sin contactar,,,,
40,Viewnext (IBM),Consultora / gran empresa,DAM/DAW/ASIR,"Av. Gómez Laguna 25, pl. 11, 50009",976 15 50 00,viewnext.com,Alta,Reseña: da oportunidades a recién titulados,Sin contactar,,,,
41,EFOR,Consultora / gran empresa,SMR/ASIR/DAM,"Pl. Roma F-1, pl. 1, 50010",976 46 76 76,efor.es,Alta,Grupo Integra,Sin contactar,,,,
42,Integra Estrategia y Tecnología,Consultora / gran empresa,SMR/ASIR/DAM,"Pl. Roma F-1, pl. 1, 50010",976 46 76 76,integratecnologia.es,Alta,Mismo grupo que EFOR,Sin contactar,,,,
43,Suitech Consultoría y Tecnología,Consultora / gran empresa,DAM/ASIR,"Pl. Roma F-1, pl. 1, 50010",629 20 35 11,,Media,Mismo edificio que EFOR,Sin contactar,,,,
44,Nologin Consulting,Consultora / gran empresa,ASIR/DAM,"Av. Ranillas 1D, pl. 3 of. 3G, 50018",976 51 24 33,nologin.es,Alta,"Sistemas, VDI",Sin contactar,,,,
45,flexVDI,Consultora / gran empresa,ASIR,"Av. Ranillas 1D, of. 3G, 50018",976 51 24 33,flexvdi.com,Media,Producto de Nologin,Sin contactar,,,,
46,Nettrim,Consultora / gran empresa,DAM/DAW,"Av. Ranillas 1D, of. 3I, 50018",976 24 95 28,,Media,,Sin contactar,,,,
47,Babel Consultora Tecnológica,Consultora / gran empresa,DAM/DAW/ASIR,"Av. Ciudad de Soria 8, La Terminal pl. 4, 50003",931 89 56 59,babelgroup.com,Media,,Sin contactar,,,,
48,ZIMALTEC,Consultora / gran empresa,DAM/ASIR,"Ctra. Aeropuerto km 4, Ed. San Lamberto of. 9, 50011",976 08 04 65,zimaltec.es,Media,Microsoft Dynamics,Sin contactar,,,,
49,Advance Soluciones (Business Central),Consultora / gran empresa,DAM/ASIR,"C. Cuatro de Agosto 18, pl. 3, 50003",976 79 77 19,,Media,Partner Navision/BC,Sin contactar,,,,
50,Golive,Consultora / gran empresa,DAM,"C. Madre Rafols 2, pl. 1, 50004",976 79 73 04,,Baja,Industria y transporte,Sin contactar,,,,
51,Deveco,Consultora / gran empresa,DAM,"Pº Pamplona 5, pl. 6, 50004",976 50 03 23,,Baja,IA y automatización,Sin contactar,,,,
52,TAKTIC,Consultora / gran empresa,DAM/DAW,"Pº Isabel la Católica 6, pl. 2, 50009",976 23 02 43,,Baja,Transformación digital,Sin contactar,,,,
53,Idea Consulting,Consultora / gran empresa,SMR/DAM,"Pº Sagasta 54, 50006",976 48 68 68,,Media,,Sin contactar,,,,
54,Maubic Consultoría Tecnológica,Consultora / gran empresa,DAM,"C. Coso 67, 6-C, 50001",876 53 68 88,,Baja,,Sin contactar,,,,
55,ITAINNOVA (Instituto Tecnológico de Aragón),Organismo público / I+D,ASIR/DAM,"C. María de Luna 7, 50018",976 01 00 00,itainnova.es,Alta,Admite FCT; vía convenio DGA,Sin contactar,,,,
56,Aragonesa de Servicios Telemáticos (AST),Organismo público / I+D,SMR/ASIR,"Av. Ranillas 3A, pl. 3 of. J, 50018",976 71 44 95,ast.aragon.es,Alta,TIC del Gobierno de Aragón,Sin contactar,,,,
57,Ibercaja Connect,Organismo público / I+D,SMR/ASIR,"C. Bari 49, pl. 2, PLAZA 50197",976 74 88 00,,Media,Grupo Ibercaja; consultar Ibercaja Tech,Sin contactar,,,,
58,Memorándum Tecnología,Desarrollo software,DAM/DAW,"Av. Cesáreo Alierta 53, pl. 1, 50008",876 01 99 22,memorandum.es,Media,Software + IA + Kit Digital,Sin contactar,,,,
59,ARANOVA,Desarrollo software,DAM/DAW,"C. Monte Perdido 4 (Pl. Fonz 4), 50015",976 51 76 11,,Media,"Streaming, plataformas",Sin contactar,,,,
60,Integración y Desarrollo de Aplicaciones (IDA),Desarrollo software,DAM,"C. Isla de Menorca 1, local 2, 50014",976 46 03 50,,Media,Software de gestión,Sin contactar,,,,
61,Digital SP,Desarrollo software,DAW/DAM,"Etopia, Av. Ciudad de Soria 8, pl. 4 B01, 50003",647 08 31 54,,Media,Programación a medida,Sin contactar,,,,
62,DREAMS Diseño y Desarrollo,Desarrollo software,DAW,"C. Cuatro de Agosto 18, 50003",976 39 14 15,,Media,"Web, e-commerce, cloud",Sin contactar,,,,
63,VGS Proyectos Digitales,Desarrollo software,DAW/ASIR,"C. Ibón de Estanés 16, 50011",976 47 25 39,,Alta,"E-commerce, cloud",Sin contactar,,,,
64,Piensa En Web,Desarrollo software,DAW,"Pl. San Felipe 1, 2º, 50003",674 04 52 65,piensaenweb.com,Media,,Sin contactar,,,,
65,Frucomedia,Desarrollo software,DAW,"C. San Agustín 4, local 4, 50002",610 85 00 53,,Baja,"Shopify, unipersonal",Sin contactar,,,,
66,rIL Studio,Desarrollo software,DAW,"C. José Mª Lacarra de Miguel 40, 50008",876 28 25 32,,Media,Web + SEO,Sin contactar,,,,
67,Mano de Mono Estudio,Desarrollo software,DAW,"C. José de la Hera 3, 50001",618 16 50 23,,Baja,Diseño web,Sin contactar,,,,
68,Analíticamente,Desarrollo software,DAW,"C. Previsión Social 10, 50008",619 98 44 04,,Baja,Marketing digital / web,Sin contactar,,,,
69,Agencia Omnia,Desarrollo software,DAW,"Pl. San Francisco 14, pl. 1 of. 4, 50006",634 46 73 07,,Baja,Marketing digital / web,Sin contactar,,,,
70,Social11,Desarrollo software,DAW/DAM,"Pº Independencia 19, 6º dcha, 50001",876 03 28 07,,Baja,Reseñas mixtas,Sin contactar,,,,
71,Jiménez Carbó,Desarrollo software,DAW,"Vía Hispanidad 123, local 1, 50011",976 96 30 27,,Media,Web + seguridad web,Sin contactar,,,,
72,Digital Zaragoza,Desarrollo software,DAW,"Pº Independencia 22, pl. 8, 50004",976 39 91 55,,Baja,,Sin contactar,,,,
73,El Estudio de Andrés,Desarrollo software,DAW,"C. Duquesa de Villahermosa 31, 7ºB, 50010",654 42 22 20,,Baja,Unipersonal,Sin contactar,,,,
74,Nubidoc / Treebole,Desarrollo software,DAM/DAW,"C. Santa Lucía 9, 50003",876 01 95 53,nubidoc.com,Media,Software clínicas (SaaS),Sin contactar,,,,
75,Audinfor System,Desarrollo software,DAM,"C. Marcelino Álvarez 84, 50012",976 31 20 18,,Media,Software sector energético,Sin contactar,,,,
76,The Big Tech Experience,Desarrollo software,DAM/SMR,"C. Asalto 23, 50002",876 53 86 43,,Media,ERP + TPV,Sin contactar,,,,
77,Esofitec,Desarrollo software,DAM,"C. Madre Rafols 2, Ed. Aida pl. 6 of. 5, 50004",976 46 85 53,,Media,ERP/contabilidad,Sin contactar,,,,
78,JubiERP,Desarrollo software,DAM/DAW,"C. Ramiro I de Aragón 22, 50017",,jubierp.com,Baja,ERP SaaS,Sin contactar,,,,
79,Ahora Express Zaragoza,Desarrollo software,DAM/SMR,"C. Felisa Galé 1, 50014",976 25 90 99,,Media,Software de gestión,Sin contactar,,,,
80,Esprinet Ibérica,Distribución / mayorista,SMR,"PLAZA, C. Osca 2, naves 2-5, 50197",976 76 61 10,esprinet.com,Media,"Mayorista informática, logística",Sin contactar,,,,
81,Información Tecnología y Mercado (ITM),Distribución / mayorista,SMR,"PLAZA, C. Bari 57, 50197",976 59 73 86,,Media,,Sin contactar,,,,
82,Nitropc,Distribución / mayorista,SMR,"C. María Zambrano 31, torre oeste pl. 15, 50018",876 61 45 01,nitropc.com,Alta,"Montaje PCs, 1.300+ reseñas",Sin contactar,,,,
83,Informática Zaragoza,Tienda / reparación,SMR,"C. Cortes de Aragón 64, 50005",976 56 56 22,informaticazaragoza.com,Media,396 reseñas,Sin contactar,,,,
84,DCV Informática,Tienda / reparación,SMR,"Ronda Ibón de Plan 32, 50011",675 76 88 59,,Media,"Unipersonal, cita previa",Sin contactar,,,,
85,Reparagoza,Tienda / reparación,SMR,"C. San Francisco de Borja 7, 50009",876 45 01 86,reparagoza.com,Media,,Sin contactar,,,,
86,Clínica de Ordenadores,Tienda / reparación,SMR,"C. Pedro María Ric 20, 50008",976 79 61 58,clinicadeordenadores.com,Media,,Sin contactar,,,,
87,Mundo Informático,Tienda / reparación,SMR,"Av. Almozara 51, 50003",976 28 15 58,mundoinfo.es,Media,,Sin contactar,,,,
88,APP Informática Actur,Tienda / reparación,SMR,"C. Rafael Alberti 21, 50018",976 51 96 07,,Media,,Sin contactar,,,,
89,APP Informática Pza. Mozart,Tienda / reparación,SMR,"Pº Longares 26, 50014",976 07 50 25,,Media,,Sin contactar,,,,
90,ATM Tiendas / Taller del Portátil,Tienda / reparación,SMR,"C. Alberto Duce 14, 50018",976 46 61 16,,Media,,Sin contactar,,,,
91,BEEP Informática Actur,Tienda / reparación,SMR,"C. Pablo Ruiz Picasso 18, 50015",976 73 18 52,beep.es,Media,Franquicia,Sin contactar,,,,
92,Infoara,Tienda / reparación,SMR,"C. Pablo Remacha 25, 50008",640 62 07 63,,Baja,,Sin contactar,,,,
93,Zarafix,Tienda / reparación,SMR,"Pl. Utrillas 1, local 1, 50013",676 54 76 79,,Baja,Unipersonal,Sin contactar,,,,
94,PCZeta,Tienda / reparación,SMR,"C. Heroísmo 34, 50002",614 36 09 70,,Baja,"Montaje a medida, cita previa",Sin contactar,,,,
95,Informática San José,Tienda / reparación,SMR,"Av. Tenor Fleta 116, 50007",976 37 53 07,,Baja,,Sin contactar,,,,
96,Aragón Robotics,Tienda / reparación,SMR/DAM,"Pl. España 4, 50001",629 80 80 07,,Baja,Verificar actividad,Sin contactar,,,,
